Group	Name	Weight	Reference	PubMed	Source	Note
Physical Interactions	Keller-Lee-2014	0.0029215861620696002	SAICAR induces protein kinase activity of PKM2 that is necessary for sustained proliferative signaling of cancer cells. Keller et al. (2014). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/24606918		
Physical Interactions	Persaud-Rotin-2009 B	0.0029026427794940244	Comparison of substrate specificity of the ubiquitin ligases Nedd4 and Nedd4-2 using proteome arrays. Persaud et al. (2009). Mol Syst Biol	http://www.ncbi.nlm.nih.gov/pubmed/19953087		
Physical Interactions	Oliviero-Cagney-2016	0.0028871784338842564	Dynamic Protein Interactions of the Polycomb Repressive Complex 2 during Differentiation of Pluripotent Cells. Oliviero et al. (2016). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/27634302		
Physical Interactions	Nassa-Weisz-2019	0.002871277443750394	The RNA-mediated estrogen receptor α interactome of hormone-dependent human breast cancer cell nuclei. Nassa et al. (2019). Sci Data	http://www.ncbi.nlm.nih.gov/pubmed/31527615		
Physical Interactions	Weinmann-Meister-2009	0.002804259093130559	Importin 8 is a gene silencing factor that targets argonaute proteins to distinct mRNAs. Weinmann et al. (2009). Cell	http://www.ncbi.nlm.nih.gov/pubmed/19167051		
Physical Interactions	Yang-Brasier-2015	0.002766822322165955	Systematic Determination of Human Cyclin Dependent Kinase (CDK)-9 Interactome Identifies Novel Functions in RNA Splicing Mediated by the DEAD Box (DDX)-5/17 RNA Helicases. Yang et al. (2015). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/26209609		
Physical Interactions	Kristensen-Foster-2012	0.00275573164152653	A high-throughput approach for measuring temporal changes in the interactome. Kristensen et al. (2012). Nat Methods	http://www.ncbi.nlm.nih.gov/pubmed/22863883		
Physical Interactions	Behzadnia-Lührmann-2007	0.0026596299958390056	Composition and three-dimensional EM structure of double affinity-purified, human prespliceosomal A complexes. Behzadnia et al. (2007). EMBO J	http://www.ncbi.nlm.nih.gov/pubmed/17332742		
Physical Interactions	Llères-Lamond-2010	0.002636061831866797	Direct interaction between hnRNP-M and CDC5L/PLRG1 proteins affects alternative splice site choice. Llères et al. (2010). EMBO Rep	http://www.ncbi.nlm.nih.gov/pubmed/20467437		
Physical Interactions	Weishäupl-Schmidt-2019	0.002561381261416942	Physiological and pathophysiological characteristics of ataxin-3 isoforms. Weishäupl et al. (2019). J Biol Chem	http://www.ncbi.nlm.nih.gov/pubmed/30455355		
Physical Interactions	Varjosalo-Gstaiger-2013 B	0.0024754752479446184	The protein interaction landscape of the human CMGC kinase group. Varjosalo et al. (2013). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/23602568		
Physical Interactions	Hein-Mann-2015	0.0024417462336573954	A human interactome in three quantitative dimensions organized by stoichiometries and abundances. Hein et al. (2015). Cell	http://www.ncbi.nlm.nih.gov/pubmed/26496610		
Physical Interactions	Hosp-Selbach-2015	0.0024404662987258722	Quantitative interaction proteomics of neurodegenerative disease proteins. Hosp et al. (2015). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/25959826		
Physical Interactions	Hutchins-Peters-2010	0.0023797105547132364	Systematic analysis of human protein complexes identifies chromosome segregation proteins. Hutchins et al. (2010). Science	http://www.ncbi.nlm.nih.gov/pubmed/20360068		
Physical Interactions	Greco-Cristea-2011	0.002374045282916933	Nuclear import of histone deacetylase 5 by requisite nuclear localization signal phosphorylation. Greco et al. (2011). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/21081666		
Physical Interactions	Thompson-Luchansky-2014	0.0023730348255451123	Quantitative Lys-ϵ-Gly-Gly (diGly) proteomics coupled with inducible RNAi reveals ubiquitin-mediated proteolysis of DNA damage-inducible transcript 4 (DDIT4) by the E3 ligase HUWE1. Thompson et al. (2014). J Biol Chem	http://www.ncbi.nlm.nih.gov/pubmed/25147182		
Physical Interactions	Xiao-Lefkowitz-2007	0.0023588639038354077	Functional specialization of beta-arrestin interactions revealed by proteomic analysis. Xiao et al. (2007). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/17620599		
Physical Interactions	Gloeckner-Ueffing-2007	0.0023331712332158175	A novel tandem affinity purification strategy for the efficient isolation and characterisation of native protein complexes. Gloeckner et al. (2007). Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/17979178		
Physical Interactions	Brehme-Superti-Furga-2009	0.0023009741029246444	Charting the molecular network of the drug target Bcr-Abl. Brehme et al. (2009). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/19380743		
Physical Interactions	Jones-MacBeath-2006	0.002264854907903473	A quantitative protein interaction network for the ErbB receptors using protein microarrays. Jones et al. (2006). Nature	http://www.ncbi.nlm.nih.gov/pubmed/16273093		
Physical Interactions	Scott-Schulman-2016	0.002246955428394526	Two Distinct Types of E3 Ligases Work in Unison to Regulate Substrate Ubiquitylation. Scott et al. (2016). Cell	http://www.ncbi.nlm.nih.gov/pubmed/27565346		
Physical Interactions	Yang-Maurer-2018	0.0022181712441152173	rec-YnH enables simultaneous many-by-many detection of direct protein-protein and protein-RNA interactions. Yang et al. (2018). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/30217970		
Physical Interactions	Xu-Zetter-2016	0.0022103593516745916	Prohibitin 1 regulates tumor cell apoptosis via the interaction with X-linked inhibitor of apoptosis protein. Xu et al. (2016). J Mol Cell Biol	http://www.ncbi.nlm.nih.gov/pubmed/27025967		
Physical Interactions	IREF-quickgo	0.0022088275832691743				
Physical Interactions	Van Quickelberghe-Gevaert-2018	0.002180843704848094	A protein-protein interaction map of the TNF-induced NF-κB signal transduction pathway. Van Quickelberghe et al. (2018). Sci Data	http://www.ncbi.nlm.nih.gov/pubmed/30561431		
Physical Interactions	Mohammed-Carroll-2013	0.0021565877178096092	Endogenous purification reveals GREB1 as a key estrogen receptor regulatory factor. Mohammed et al. (2013). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/23403292		
Physical Interactions	IREF-intcomplex	0.0021548879657447752				
Physical Interactions	IREF-dip	0.0021393430671956546				
Physical Interactions	Yang-Wang-2018	0.0021367408502292904	E3 Ligase Trim21 Ubiquitylates and Stabilizes Keratin 17 to Induce STAT3 Activation in Psoriasis. Yang et al. (2018). J Invest Dermatol	http://www.ncbi.nlm.nih.gov/pubmed/29859926		
Physical Interactions	Tiemann-Kani-2019	0.0021178102275078727	Loss of ER retention motif of AGR2 can impact mTORC signaling and promote cancer metastasis. Tiemann et al. (2019). Oncogene	http://www.ncbi.nlm.nih.gov/pubmed/30575818		
Physical Interactions	IREF-mbinfo	0.002095932532627203				
Physical Interactions	Wan-Emili-2015	0.0020541779536720596	Panorama of ancient metazoan macromolecular complexes. Wan et al. (2015). Nature	http://www.ncbi.nlm.nih.gov/pubmed/26344197		
Physical Interactions	Herr-Helleday-2015	0.0020408101310039964	A genome-wide IR-induced RAD51 foci RNAi screen identifies CDC73 involved in chromatin remodeling for DNA repair. Herr et al. (2015). Cell Discov	http://www.ncbi.nlm.nih.gov/pubmed/27462432		
Physical Interactions	Gupta-Pelletier-2015	0.0020247848255786896	A Dynamic Protein Interaction Landscape of the Human Centrosome-Cilium Interface. Gupta et al. (2015). Cell	http://www.ncbi.nlm.nih.gov/pubmed/26638075		
Physical Interactions	Havugimana-Emili-2012	0.001963290793730565	A census of human soluble protein complexes. Havugimana et al. (2012). Cell	http://www.ncbi.nlm.nih.gov/pubmed/22939629		
Physical Interactions	Kaltenbach-Hughes-2007	0.0019627175409504347	Huntingtin interacting proteins are genetic modifiers of neurodegeneration. Kaltenbach et al. (2007). PLoS Genet	http://www.ncbi.nlm.nih.gov/pubmed/17500595		
Physical Interactions	Fonseca-Damgaard-2015	0.0019244163558973242	La-related Protein 1 (LARP1) Represses Terminal Oligopyrimidine (TOP) mRNA Translation Downstream of mTOR Complex 1 (mTORC1). Fonseca et al. (2015). J Biol Chem	http://www.ncbi.nlm.nih.gov/pubmed/25940091		
Physical Interactions	Devarajan-Ketha-Kumar-2012	0.0019216000721768666	The sclerostin-bone protein interactome. Devarajan-Ketha et al. (2012). Biochem Biophys Res Commun	http://www.ncbi.nlm.nih.gov/pubmed/22206666		
Physical Interactions	Tang-Wang-2019	0.0019214319485051402	The p300/YY1/miR-500a-5p/HDAC2 signalling axis regulates cell proliferation in human colorectal cancer. Tang et al. (2019). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/30737378		
Physical Interactions	Barrios-Rodiles-Wrana-2005	0.0018993606427029016	High-throughput mapping of a dynamic signaling network in mammalian cells. Barrios-Rodiles et al. (2005). Science	http://www.ncbi.nlm.nih.gov/pubmed/15761153		
Physical Interactions	Salvetti-Greco-2016	0.001896170418768243	Nuclear Functions of Nucleolin through Global Proteomics and Interactomic Approaches. Salvetti et al. (2016). J Proteome Res	http://www.ncbi.nlm.nih.gov/pubmed/27049334		
Physical Interactions	Malinová-Verheggen-2017	0.0018867074708978917	Assembly of the U5 snRNP component PRPF8 is controlled by the HSP90/R2TP chaperones. Malinová et al. (2017). J Cell Biol	http://www.ncbi.nlm.nih.gov/pubmed/28515276		
Physical Interactions	Jeronimo-Coulombe-2007	0.0018779242217838166	Systematic analysis of the protein interaction network for the human transcription machinery reveals the identity of the 7SK capping enzyme. Jeronimo et al. (2007). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/17643375		
Physical Interactions	Choudhury-Michlewski-2017	0.0018731958631087301	RNA-binding activity of TRIM25 is mediated by its PRY/SPRY domain and is required for ubiquitination. Choudhury et al. (2017). BMC Biol	http://www.ncbi.nlm.nih.gov/pubmed/29117863		
Physical Interactions	Lu-Bohr-2017	0.0018680117524384155	Cell cycle-dependent phosphorylation regulates RECQL4 pathway choice and ubiquitination in DNA double-strand break repair. Lu et al. (2017). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/29229926		
Physical Interactions	Hubel-Pichlmair-2019	0.0018622812647973673	A protein-interaction network of interferon-stimulated genes extends the innate immune system landscape. Hubel et al. (2019). Nat Immunol	http://www.ncbi.nlm.nih.gov/pubmed/30833792		
Physical Interactions	Moon-Kim-2014	0.0018321001339820227	Interactome analysis of AMP-activated protein kinase (AMPK)-α1 and -β1 in INS-1 pancreatic beta-cells by affinity purification-mass spectrometry. Moon et al. (2014). Sci Rep	http://www.ncbi.nlm.nih.gov/pubmed/24625528		
Physical Interactions	Woods-Monteiro-2012 A	0.0018171665263914108	Charting the landscape of tandem BRCT domain-mediated protein interactions. Woods et al. (2012). Sci Signal	http://www.ncbi.nlm.nih.gov/pubmed/22990118		
Physical Interactions	Rowbotham-Mermoud-2011	0.0018064106542066418	Maintenance of silent chromatin through replication requires SWI/SNF-like chromatin remodeler SMARCAD1. Rowbotham et al. (2011). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/21549307		
Physical Interactions	Loch-Strickler-2012	0.0017744684472317397	A microarray of ubiquitylated proteins for profiling deubiquitylase activity reveals the critical roles of both chain and substrate. Loch et al. (2012). Biochim Biophys Acta	http://www.ncbi.nlm.nih.gov/pubmed/22626734		
Physical Interactions	Rosenbluh-Hahn-2016	0.0017677895968556698	Genetic and Proteomic Interrogation of Lower Confidence Candidate Genes Reveals Signaling Networks in β-Catenin-Active Cancers. Rosenbluh et al. (2016). Cell Syst	http://www.ncbi.nlm.nih.gov/pubmed/27684187		
Physical Interactions	Liebelt-Vertegaal-2020	0.0017672093696151428	Transcription-coupled nucleotide excision repair is coordinated by ubiquitin and SUMO in response to ultraviolet irradiation. Liebelt et al. (2020). Nucleic Acids Res	http://www.ncbi.nlm.nih.gov/pubmed/31722399		
Physical Interactions	Noguchi-Kawahara-2018	0.0017653246303671482	ZFP36L2 is a cell cycle-regulated CCCH protein necessary for DNA lesion-induced S-phase arrest. Noguchi et al. (2018). Biol Open	http://www.ncbi.nlm.nih.gov/pubmed/29449217		
